1.1.1.1|Salários
1.6.1.37|Assinaturas
1.6.1.38|Publicações de Editais Anúncios e Matérias
1.6.1.39|Serviços de Revistas e Assemelhados
1.6.1.40|Certificação Digital
1.6.1.41|Suporte aos Sites Cfa
1.6.1.42|Serviços de Manutenção de Sistemas
1.6.1.43|Licenças de Software
1.6.1.44|Tecnologia da Informação - Assinatura de Soluções
1.6.1.45|Serviços de Assessoria Parlamentar
1.6.1.46|Custeio Na Realização e Apoio a Reuniões
1.6.1.47|Serviços de Auditoria Externa/ ISO
1.6.1.48|Realização do Jubileu
1.6.1.49|Atividades Artísticas, Culturais, Desportivas, Turísticas e Recreativas
1.6.1.50|Tarifas Administrativas de Cartões de Débito e Crédito
1.6.1.51|Serviços de Banco de Dados ( Serpro)
1.6.1.52|Outros Serviços de Terceiros
1.7.1.1|Pedágios
1.7.1.2|Estacionamentos
1.7.1.3|Despesas com Taxi
1.8.1.1|Taxas Diversas
1.8.1.2|Outros Tributos
1.9.1.1|Despesas de Exercícios Anteriores
1.9.1.2|Despesas Miúdas de Pronto Pagamento
1.9.1.3|Custas Processuais
1.9.1.4|Sentenças Judiciais
1.9.1.5|Honorários Cobrança/Sucumbência
1.9.1.6|Cartórios, Registros, Firmas e Autenticações
1.9.1.7|Indenizações, Restituições e Reembolsos
1.9.1.8|Reembolso de Quilometragem Por Km Rodado
1.10.1.1|Juros sobre Empréstimos
1.10.1.2|Atualização Monetária sobre Empréstimos
1.10.2.1|Taxas sobre Serviços Bancários
1.10.2.2|Despesas com Cobrança
1.10.3.1|Apoio Financeiro para Eventos Externo ao Cfa
1.10.3.2|Repasse de Recursos Proder - Projetos Individuais do Sistema Cfa/Cras
1.10.3.3|Repasse de Recursos Proder - Projetos Coletivos do Sistema Cfa/Cras
1.10.3.4|Crédito Disponível Despesa de Capital
1.10.3.5|Cota Parte ao CFA
2.1.1.1|Obras e Instalações
2.1.1.2|Reformas
2.1.1.2|Títulos e Ações
2.1.2.1|Móveis e Utensílos de Escritórios
2.1.2.2|Máquinas e Equipamentos
2.1.2.3|Instalações
2.1.2.4|Veículos
2.1.2.5|Utensílios de Copa e Cozinha
2.1.2.6|Equipamentos de Processamento de Dados
2.1.2.7|Biblioteca
2.1.2.8|Obras de Arte
2.3.1.1|Imóveis
2.3.1.2|Terrenos
2.4.1.1|Marcas e Patentes
2.4.1.2|Softwares
2.5.1.1|Emprestimos para Despesas de Custeio
2.5.1.2|Emprest. P/ Aquis., Constr. e Ref. de Sede
2.5.2.1|Amortizações de Empréstimos
2.5.2.2|Despesas de Custeio
2.5.2.3|Aquisição, Reforma e Construção de Sede
2.5.3.1|Despesas de Exercícios Anteriores
2.6.1.1|Contribuições e/ou Auxílios
2.6.2.1|Reserva de Contingencia Orçamentária
